Latin Name,Common Name,Habit,Height,Hardiness,Soil,Shade,Moisture,Edible,Medicinal,Other
Pfaffia paniculata,Pfaffia,Climber,1.0,10-12,F,LMH,N,DM,0,4,0
Phlox paniculata,"Garden Phlox, Fall phlox, Perennial Phlox, Tall Phlox, Summer Phlox",Perennial,1.2,4-9,M,LMH,SN,M,0,0,
Phyllostachys aurea,"Golden Bamboo, Fishpole Bamboo",Bamboo,6.0,6-11,F,LMH,S,M,5,0,0
Phyllostachys viridiglaucescens,Greenwax golden bamboo,Bamboo,6.0,6-9,,LMH,S,M,4,0,1
Phyllostachys vivax,"Giant Timber Bamboo, Running giant bamboo",Bamboo,10.0,7-10,F,LMH,S,M,3,0,2
Physalis hederaefolia cordifolia,Ground Cherry,Perennial,0.3,-,,LMH,SN,DM,2,0,
Physalis lanceolata,"Ground Cherry,  Sword groundcherry",Perennial,0.4,0-0,,LMH,SN,DM,2,1,
Physalis peruviana,"Goldenberry, Peruvian groundcherry",Perennial,1.2,10-12,,LMH,SN,M,5,1,0
Physalis pubescens,"Ground Cherry, Husk tomato",Annual,0.5,10-12,,LMH,SN,DM,4,1,0
Pimpinella major,"Greater Burnet Saxifrage, Hollowstem burnet saxifrage",Perennial,0.8,4-8,,LMH,SN,M,1,2,
Pisum sativum,Garden Pea,Annual,2.0,-,,LM,N,M,4,2,
Polygonum sachalinense,Giant Knotweed,Perennial,3.6,4-8,F,LMH,SN,M,2,0,0
Populus x canescens,Grey Poplar,Tree,30.0,4-9,F,LMH,N,M,0,1,2
Portulaca oleracea,"Green Purslane, Little hogweed",Annual,0.3,3-12,F,LM,N,M,4,3,2
Portulaca oleracea sativa,Golden Purslane,Annual,0.3,-,,LM,N,M,4,3,
Potentilla glandulosa,"Gland Cinquefoil, Sticky cinquefoil, Arizona cinquefoil, Ashland cinquefoil, Ewan's cinquefoil, Hans",Perennial,0.6,6-9,,LMH,SN,M,1,1,
Prunus canescens,Greyleaf Cherry,Shrub,3.0,5-9,,LMH,SN,M,3,1,2
Prunus domestica italica,"Gages, Greengage",Tree,5.0,5-8,M,LMH,SN,M,5,2,2
Pseudognaphalium obtusifolium,"White Balsam, Rabbit-tobacco",Annual,0.5,0-0,,LM,N,DM,0,2,
Pseudolarix amabilis,"Golden Larch, Chinese golden-larch",Tree,40.0,5-7,S,LMH,SN,M,0,2,
Psidium guajava,"Guava, Tropical Guava, Goiaba, Araçá-goiaba",Tree,10.0,9-12,M,LMH,N,M,5,2,5
Puccinellia distans,"Sweet Grass, Weeping alkaligrass, Hauptian alkaligrass",Perennial,0.6,0-0,,LM,SN,MWe,1,0,
Pyrola chlorantha,Green-Flowered Wintergreen,Perennial,0.3,4-8,,LM,FSN,M,0,1,
Ranunculus inamoeus,Graceful Buttercup,Perennial,0.3,-,,LMH,SN,M,1,0,
Rheum × hybridum,Garden Rhubarb,Perennial,1.5,3-8,M,LMH,SN,M,4,3,1
Ribes aciculare,,Shrub,1.0,3-7,,LMH,SN,M,3,0,
Ribes aureum,Golden Currant,Shrub,2.4,3-8,,LMH,SN,DM,4,1,0
Ribes californicum,Hillside Gooseberry,Shrub,0.0,6-9,,LMH,N,M,2,0,
Ribes curvatum,Granite gooseberry,Shrub,1.0,6-9,,LMH,SN,M,3,0,
Ribes divaricatum,"Coastal Black Gooseberry, Spreading gooseberry, Parish's gooseberry, Straggly gooseberry",Shrub,2.7,4-8,,LMH,SN,M,4,1,2
Ribes hirtellum,"Currant-Gooseberry, Hairystem gooseberry",Shrub,1.0,4-8,,LMH,N,M,3,0,0
Ribes inerme,"Whitestem Gooseberry, Klamath gooseberry",Shrub,2.0,5-9,,LMH,SN,M,2,0,
Ribes leptanthum,Trumpet Gooseberry,Shrub,1.0,5-9,,LMH,SN,M,2,0,
Ribes lobbii,Gummy Gooseberry,Shrub,1.8,6-9,,LMH,N,M,1,1,
Ribes montigenum,Gooseberry-Currant,Shrub,0.8,5-9,,LMH,N,M,3,0,0
Ribes pinetorum,Orange Gooseberry,Shrub,0.0,5-9,,LMH,N,M,3,0,0
Ribes uva-crispa,"Gooseberry, European gooseberry",Shrub,1.2,4-8,M,LMH,SN,M,5,1,2
Rorippa amphibia,Great Yellow Cress,Perennial,1.2,5-9,,LMH,SN,MWeWa,3,0,
Rorippa globosa,Globe yellowcress,Annual/Perennial,0.7,0-0,,LMH,N,M,1,0,
Rubia tinctorum,"Madder, Dyer's madder",Perennial,1.0,5-9,M,LM,SN,DM,0,2,
Rubus ellipticus,"Golden Evergreen Raspberry,  Yellow Himalayan raspberry",Shrub,4.5,7-10,,LMH,SN,M,4,2,3
Rubus glandicaulis,Glandstem blackberry,Shrub,1.8,0-0,,LMH,SN,M,2,0,
Rubus nubigenus,Giant Colombian Blackberry,Shrub,2.0,0-0,,LMH,SN,M,3,0,1
Rumex hydrolapathum,Great Water Dock,Perennial,1.8,5-9,,LMH,SN,MWeWa,1,1,
Rumex maritimus,Golden Dock,Annual,0.5,-,,LMH,SN,MWe,1,2,
Salicornia europaea,Glasswort,Annual,0.3,-,,LMH,N,DM,3,0,
Salix alba vitellina,Golden Willow,Tree,20.0,-,F,LMH,N,MWe,1,3,
Salix caprea,"Goat Willow, Kilmarnock Willow, Pink Pussy Willow, Pussy Willow",Tree,10.0,4-9,F,LMH,SN,DMWe,1,2,4
Salix cinerea,"Grey Willow, Large gray willow",Shrub,5.0,2-7,,LMH,N,MWe,0,3,3
Salix gooddingii,Goodding's Willow,Tree,10.0,8-10,F,LMH,N,MWe,1,2,3
Salix x rubra,"Green-leaved willow, Red osier",Shrub,6.0,4-8,,LMH,N,MWe,1,2,3
Salvia fruticosa,"Greek Sage, Greek oregano",Shrub,1.0,8-11,,LM,N,DM,2,3,
Sanguisorba officinalis,Great Burnet,Perennial,1.0,4-8,,LMH,SN,DMWe,2,3,2
Sarcobatus vermiculatus,Greasewood,Shrub,2.7,4-8,,LMH,N,DM,2,1,0
Schizolobium parahyba,Guapiruvu,Tree,25.0,10-12,F,MH,N,M,0,0,4
Sedum arboroseum,Garden Stonecrop,Perennial,0.5,5-9,,LMH,SN,DM,1,2,
Senecio vulgaris,Groundsel,Annual,0.3,5-9,,LMH,N,DM,1,2,3
Setaria viridis,Green Bristle Grass,Annual,0.5,5-9,,LMH,N,DM,2,2,0
Smilax bona-nox,"Greenbriar, Saw greenbrier, Dunes saw greenbrier",Climber,6.0,0-0,,LMH,SN,M,3,2,
Solanum scabrum,Garden Huckleberry,Annual,0.6,5-9,,LMH,N,M,3,2,
Solanum vescum,Green Kangaroo Apple,Shrub,2.0,-,,LMH,N,M,2,2,
Solidago gigantea,Giant Goldenrod,Perennial,1.2,5-9,,LMH,SN,M,0,2,
Spartium junceum,"Spanish Broom, Weaver's Broom, Spanish Broom",Shrub,3.5,8-9,F,LMH,N,DM,0,2,0
Spiraea x arguta,Garland Spiraea,Shrub,2.5,4-8,,LMH,SN,M,0,0,
Spirodela polyrrhiza,"Great Duckweed, Common duckmeat",Perennial,0.0,4-8,F,LMH,N,Wa,1,2,
Spondias dulcis,"Golden Apple, Ambarella,",Tree,15.0,9-12,F,LMH,SN,DM,4,2,2
Sporobolus giganteus,Giant Dropseed,Perennial,2.0,-,,LM,N,DM,2,0,
Stellaria neglecta,"Greater Chickweed, Common chickweed",Annual,0.1,0-0,,LMH,SN,M,1,0,
Stipa viridula,Green Needlegrass,Perennial,1.0,-,,LMH,SN,M,0,1,
Strophostyles umbellata,"Pink fuzzybean, Perennial wild bean",Perennial Climber,1.0,6-9,F,LM,SN,DM,0,0,2
Swertia chirayita,Chiretta,Annual,1.0,6-9,,LMH,S,MWe,0,3,
Symphytum grandiflorum,"Ground Cover Comfrey, Comfrey",Perennial,0.4,3-9,F,LMH,FS,M,0,0,4
Tragopogon pratensis,Goat's Beard,Annual/Perennial,0.6,3-7,,LMH,N,M,3,2,
Trollius europaeus,"Globeflower, Common Globeflower, European Globeflower",Perennial,0.6,3-7,M,MH,S,MWe,0,2,
Ulex europaeus,"Gorse, Common gorse",Shrub,1.5,5-9,F,LMH,N,DM,1,1,5
Vaccinium melanocarpum,Georgia Blueberry,Shrub,1.2,5-9,,LM,SN,M,2,0,
Vaccinium scoparium,"Grouseberry, Grouse whortleberry",Shrub,0.2,3-7,,LM,SN,M,2,1,
Verbascum thapsus,"Great Mullein, Common mullein, Aaron's Rod, Flannel Plant, Hag Taper, Mullein, Torches, Velvet Plant",Biennial,1.8,3-8,F,LMH,N,DM,1,3,4
Veronica chamaedrys,Germander Speedwell,Perennial,0.5,3-7,,LMH,SN,M,1,1,
Veronica longifolia,"Garden Speedwell, Long-Leaf  Speedwell",Perennial,1.0,4-10,M,LMH,N,M,1,0,
Veronica polita,Gray field speedwell,Annual,0.3,0-0,,LMH,N,M,2,1,
Viburnum opulus,"Guelder Rose, Cramp Bark,  European cranberrybush, American cranberrybush, Crampbark, European Highb",Shrub,5.0,3-8,M,LMH,SN,MWe,3,3,3
Vicia gigantea,Giant Vetch,Perennial,1.0,4-8,,LMH,SN,M,2,1,3
Viguiera multiflora,Goldeneye,Perennial,1.0,9-11,,LMH,N,M,1,0,
Vinca major,"Greater Periwinkle, Bigleaf periwinkle, Myrtle, Large Periwinkle, Big Periwinkle",Shrub,0.5,7-9,M,LMH,FSN,DM,0,3,0
Viola pedunculata,"Grass Pansy, Johnny-jump-up",Perennial,0.0,7-10,,LMH,SN,M,2,0,
Vitis baileyana,Graybark Grape,Climber,10.0,5-9,,LMH,SN,DM,2,0,
Vitis belaii,Grape,Climber,0.0,-,,LMH,SN,DM,4,0,
Vitis lanata,Grape,Climber,0.0,8-11,,LMH,SN,DM,3,1,
Vitis saccharifera,Grape,Climber,0.0,-,,LMH,SN,DM,2,0,
Vitis vinifera,"Grape, Wine grape, Purpleleaf Grape, Common Grape",Climber,15.0,6-10,F,LMH,SN,DM,5,2,2
Wisteria sinensis,Chinese Wisteria,Climber,25.0,5-9,M,LMH,N,M,1,1,3
Xanthorrhoea australis,Grasstree,Perennial,1.0,-,,LM,N,M,2,1,
Zizia aurea,"Golden Alexanders, Golden zizia",Perennial,0.8,3-7,,LMH,N,M,2,1,
Abelmoschus esculentus,Okra,Annual,1.0,5-11,,LMH,N,M,4,3,2
Abelmoschus moschatus,"Musk Mallow,Musk Okra",Perennial,2.0,8-11,F,LMH,N,M,2,3,
Acer carpinifolium,Hornbeam Maple,Shrub,10.0,4-7,S,LMH,SN,M,2,0,
Acer crataegifolium,Hawthorn-Leaved Maple,Tree,10.0,5-9,,LMH,SN,M,0,0,
Acrotriche serrulata,Honeypots,Shrub,0.3,0-0,,LMH,SN,M,2,0,0
Actaea spicata,"Herb Christopher, Baneberry",Perennial,0.5,4-8,,LMH,FS,M,0,1,
Aesculus spp,Horse chestnut,Tree,30.0,4-9,F,LMH,SN,DM,4,4,4
Agave murpheyi,"Hohokam Agave, Murphey agave",Perennial,1.0,8-12,S,LMH,N,DM,2,0,4
Agrimonia parviflora,Harvestlice,Perennial,2.0,-,,LMH,SN,DM,0,2,
Ajuga iva,Herb Ivy,Perennial,0.0,-,,LMH,SN,M,0,1,
Allium acuminatum,"Hooker's Onion, Tapertip onion",Bulb,0.3,5-9,,LM,N,DM,3,2,
Anemopsis californica,Yerba Mansa,Perennial,0.5,7-10,,LMH,SN,WeWa,2,2,
Apios fortunei,"Hodo, Hodoimo",Perennial,0.0,4-9,,LM,SN,M,5,1,3
Arabis hirsuta,"Hairy rockcress,  Mountain rockcress, Creamflower rockcress",Biennial/Perennial,0.6,4-8,,LMH,SN,DM,1,0,
Aralia spinosa,"Hercule's Club, Aralia spinosa,  American Angelica Tree, Hercules' Club, Devil's Walking Stick",Tree,9.0,5-9,S,LMH,FS,M,2,2,
Arnica cordifolia,Heartleaf Arnica,Perennial,0.5,0-0,,LMH,SN,M,0,2,
Arnica fulgens,"Hillside Arnica,  Foothill arnica",Perennial,0.6,4-8,,LMH,SN,M,0,2,
Asplenium bulbiferum,"Hen And Chicken Fern, Parsley Fern, Mother Spleenwort",Fern,0.3,10-11,S,LMH,SN,M,1,0,
Asplenium scolopendrium,Hart's Tongue Fern,Fern,0.6,4-8,S,LM,FS,DM,0,2,
Astragalus chinensis,"Hua Huang Qi, Chinese milkvetch",Perennial,0.7,0-0,,LM,N,D,0,2,
Blechnum spicant,"Hard Fern, Deer fern",Fern,0.3,4-8,S,LMH,FSN,M,2,1,
Brassica juncea integrifolia rugosa,Head Mustard,Annual,0.6,6-10,F,LMH,SN,M,4,2,2
Brassica juncea rugosa,Head Mustard,Annual,0.6,6-9,,LMH,SN,M,4,2,
Bromus ramosus,Hairy Brome,Perennial,1.5,4-8,,LMH,SN,DM,0,1,
Bupleurum rotundifolium,Hare's Ear,Annual,0.4,5-9,,LM,N,DM,1,0,0
Calocedrus decurrens,"Incense Cedar, California Incense Cedar",Tree,15.0,5-8,S,LMH,SN,DM,1,1,
Campanula rotundifolia,"Harebell, Bluebell bellflower",Perennial,0.4,4-9,M,LM,SN,DM,1,1,
Cardaria draba,"Hoary Cress, Whitetop",Perennial,1.0,5-9,,LMH,SN,M,2,1,0
Carex hirta,Hammer sedge,Perennial,0.5,5-9,,LMH,SN,MWe,1,1,
Carpinus betulus,"Hornbeam,  European hornbeam, Common Hornbeam, European Hornbeam",Tree,25.0,5-7,M,LMH,FSN,M,0,2,
Carpobrotus acinaciformis,Hottentot Fig,Perennial,0.1,8-11,,L,N,DM,2,0,
Carpobrotus edulis,"Hottentot Fig,",Perennial,0.1,7-10,,L,N,DM,2,2,2
Carya hybrids,Hybrid and neohybrid hickories,Tree,40.0,4-11,M,LMH,N,DM,4,3,3
Ceanothus purpureus,Hollyleaf Ceanothus,Shrub,2.0,7-10,,LM,SN,DM,0,0,
Celtis occidentalis,"Hackberry, Common hackberry",Tree,20.0,3-9,F,LM,N,DM,3,1,2
Centrolobium sclerophyllum,Hard leaved tarara,Tree,20.0,10-12,F,LMH,N,DM,0,0,4
Ceratophyllum demersum,"Hornwort,  Coon's tail",Perennial,1.0,7-10,F,LMH,SN,WeWa,1,1,
Chenopodium nuttalliae,"Huauzontle, Nuttall's goosefoot",Annual,0.6,0-0,,LMH,N,M,4,0,
Clematis microphylla,Headachevine,Climber,3.0,8-11,,LMH,SN,M,0,1,
Conium maculatum,"Hemlock, Poison hemlock",Biennial,2.0,4-8,,LMH,SN,M,1,2,0
Copaifera multijuga,"Hayne oil, Copaiba,",Tree,20.0,10-12,S,LM,FS,DM,1,4,3
Coptis chinensis,Huang Lian,Perennial,0.3,5-9,,LMH,SN,MWe,0,3,
Corylus ferox,"Himalayan Hazel, Tibetan hazelnut",Tree,10.0,7-10,,LMH,SN,M,2,0,
Corylus hybrids & neohybrids,"Hybrid & Neohybrids, Hazel, Filbert",Shrub,25.0,4-9,M,LMH,SN,M,5,2,5
Crataegus holmesiana,Holmes' hawthorn,Tree,10.0,4-8,,LMH,SN,MWe,4,2,
Crataegus monogyna,"Hawthorn,  Oneseed hawthorn",Shrub,6.0,4-8,M,LMH,SN,MWe,3,5,3
Crataegus nigra,Hungarian Hawthorn,Tree,6.0,5-9,,LMH,SN,MWe,2,2,
Cryptotaenia canadensis,"Honewort, Canadian honewort",Perennial,1.0,4-8,,LMH,S,M,3,0,
Cucumis melo inodorus,Honeydew Melon,Annual Climber,1.5,9-11,,LMH,N,M,4,2,
Cucumis metuliferus,"Horned Cucumber, African horned cucumber",Annual Climber,1.5,9-11,,LMH,N,M,2,2,
Cupressus torulosa,Himalayan Cypress,Tree,40.0,7-10,,LMH,N,DM,0,0,
Cynoglossum officinale,"Hound's Tongue, Gypsyflower",Biennial/Perennial,0.8,5-9,,LM,N,M,1,2,2
Cyphomandra hartwegii,"Hartweg's cyphomandra,Calylophus",Tree,2.0,8-11,F,LMH,N,M,3,0,
Cyrtomium falcatum,"Holly Fern, Japanese netvein hollyfern, Japanese Holly",Fern,0.1,8-11,S,LMH,SN,M,0,1,
Dalbergia monticola,"Hazovola, tsiandalana, voamboana",Tree,12.0,10-12,S,LMH,N,M,0,0,4
Dalbergia stevensonii,Honduras Rosewood,Tree,20.0,10-12,S,LMH,N,M,0,0,4
Decemium appendiculatum,Waterleaf,Biennial/Perennial,0.4,-,,LMH,S,MWe,1,0,
Desmodium canadense,Showy tick-trefoil,Perennial,0.9,3-6,F,LMH,SN,DM,0,0,3
Ephedra altissima,High-climbing jointfir,Shrub,0.0,0-0,,LM,N,DM,1,3,
Erigenia bulbosa,Harbinger Of Spring,Perennial,0.2,-,,LMH,S,M,2,1,
Eriodictyon trichocalyx,Hairy Yerba Santa,Shrub,2.0,7-10,,L,N,DM,1,1,
Erythronium hendersonii,Henderson's Fawn Lily,Bulb,0.3,0-0,,LM,S,M,2,0,
Erythronium howellii,Howell's Fawn Lily,Bulb,0.3,-,,LM,S,M,2,0,
Euonymus hamiltonianus,Hamilton's spindletree,Shrub,9.0,4-8,,LMH,SN,DM,1,0,
Eupatorium cannabinum,Hemp Agrimony,Perennial,1.5,4-8,,LMH,SN,MWe,0,3,
Eupatorium hyssopifolium,Hyssopleaf thoroughwort,Perennial,0.6,4-8,,LMH,SN,M,0,1,
Fraxinus floribunda,Himalayan Ash,Tree,40.0,7-10,,LMH,N,M,2,2,
Gentiana saponaria,Harvestbells,Perennial,0.8,4-8,,LMH,SN,MWe,0,3,
Geranium robertianum,"Herb Robert, Robert geranium",Annual/Biennial,0.4,5-9,,LMH,SN,DM,0,2,2
Gleditsia triacanthos,Honey Locust,Tree,20.0,4-8,M,LMH,N,DM,3,2,2
Gratiola officinalis,Hedge Hyssop,Perennial,0.4,-,,LMH,SN,MWe,0,2,
Gynatrix pulchella,Hemp Bush,Shrub,2.5,7-10,F,LMH,N,M,0,0,
Hakea sericea,Silky Hakea,Shrub,3.0,8-11,,LMH,SN,DM,0,0,
Halesia carolina,"Silver-Bell Tree, Carolina silverbell, Mountain silverbell",Tree,8.0,4-8,M,LM,N,M,1,0,
Halesia tetraptera,Silverbell or Mountain Silverbell,Tree,10.0,4-8,M,LMH,FSN,M,2,0,2
Halimodendron halodendron,"Salt Tree, Common salttree",Shrub,2.0,0-0,,LM,N,DM,0,0,0
Hamamelis virginiana,"Witch Hazel, American witchhazel, Common Witchhazel, Virginian Witchhazel, Witchhazel",Shrub,5.0,3-8,S,LM,SN,M,1,5,
Hancornia speciosa,"Mangaba Rubber Tree, Mangabiera",Tree,7.0,10-12,S,LM,N,M,3,2,3
Hebe x franciscana,Hebe,Shrub,2.5,9-11,S,LM,SN,M,0,0,3
Hedera helix,"Ivy, English ivy, Algerian ivy, Baltic Ivy, Common Ivy",Climber,15.0,5-11,M,LMH,FSN,MWe,0,3,4
Hedysarum arcticum,,Perennial,0.3,-,,LMH,N,M,2,0,
Hedysarum boreale mackenzii,Liquorice Root,Perennial,0.1,3-7,,LMH,N,M,4,0,
Heldreichia rotundifolia,,Perennial,0.3,-,,LMH,SN,M,2,0,
Helianthus lenticularis,Wild Sunflower,Annual,3.0,-,,LMH,N,M,3,0,
Helianthus pauciflorus,"Stiff Sunflower, Prairie Sunflower",Perennial,1.5,3-7,F,LMH,N,DM,4,0,1
Heliotropium arborescens,"Heliotrope, Garden heliotrope, Cherry Pie, Heliotrope",Shrub,1.0,9-11,M,LMH,N,M,0,1,
Helwingia japonica,,Shrub,1.5,7-10,,LMH,SN,M,1,0,
Hemerocallis fulva longituba,,Perennial,1.0,4-8,,LMH,SN,DM,4,1,2
Hemerocallis lilioasphodelus,Yellow Day Lily,Perennial,0.6,4-8,,LMH,SN,DM,4,2,2
Hemerocallis middendorffii esculenta,,Perennial,0.5,4-8,,LMH,SN,DM,5,1,
Hemerocallis thunbergii,,Perennial,0.5,4-8,,LMH,SN,DM,4,1,2
Hemerocallis yezoensis,,Perennial,0.8,4-8,,LMH,SN,DM,4,1,
Hepatica nobilis,"Hepatica, Sharplobe hepatica, Roundlobe hepatica",Perennial,0.1,4-8,,LMH,FSN,M,0,2,
Heracleum sphondylium sibiricum,,Biennial,1.8,-,,LMH,FSN,M,3,2,
Herniaria hirsuta,Hairy Rupture Wort,Annual/Perennial,0.0,4-8,,LM,N,DM,0,1,
Hevea benthamiana,Hevea,Tree,20.0,10-12,F,LMH,SN,M,3,0,4
Hieracium umbellatum,"Hawkweed, Narrowleaf hawkweed",Perennial,0.8,5-9,,LMH,SN,M,1,1,
Hierochloe odorata,Holy Grass,Perennial,0.6,4-8,,LMH,SN,DMWe,2,2,
Hoheria sexstylosa,Ribbonwood,Tree,8.0,7-10,F,LMH,SN,M,1,0,
Holodiscus dumosus,Rock Spiraea,Shrub,4.5,4-8,,LMH,SN,DM,1,1,
Hordeum distichon,Two-Rowed Barley,Annual,1.2,4-8,,LMH,N,M,4,3,
Hordeum hexastichon,"Six-Row Barley, Common barley",Annual,1.2,0-0,,LMH,N,M,3,0,
Hosta sieboldii,,Perennial,0.5,4-8,,LMH,SN,DM,1,0,
Hovenia dulcis,Japanese Raisin Tree,Tree,10.0,5-9,,LM,N,M,3,2,3
Humulus japonicus,Japanese Hop,Perennial Climber,6.0,4-8,F,LMH,SN,M,2,1,0
Humulus lupulus,"Hop, Common hop, European Hop,",Perennial Climber,6.0,5-7,M,LMH,SN,DM,4,5,3
Hyacinthus orientalis,"Hyacinth, Garden hyacinth",Bulb,0.3,3-7,S,LM,SN,M,0,0,
Hydrangea anomala,Hydrangea,Climber,12.0,4-8,F,LMH,FSN,M,3,1,
Hydrangea arborescens,"Seven Barks, Wild hydrangea, Ashy Hydrangea, Snowhill Hydrangea, Smooth Hydrangea",Shrub,3.0,4-9,M,LMH,SN,M,1,3,
Hydrangea aspera,Hydrangea,Shrub,4.0,7-9,M,LMH,SN,DM,1,0,
Hydrangea serrata,"Hydrangea, Mountain Hydrangea, Sawtooth Hydrangea",Shrub,2.0,5-9,M,LMH,SN,M,2,0,
Hydrangea serrata amagiana,,Shrub,2.0,5-9,,LMH,SN,M,4,0,2
Hydrilla verticillata,"Hydrilla, Waterthyme",Annual/Perennial,0.0,4-8,F,LMH,N,Wa,0,2,0
Hydrocotyle sibthorpioides,"Water Pennywort, Lawn marshpennywort",Perennial,0.1,5-9,,LMH,SN,MWe,1,2,
Hymenaea courbaril,West Indian Locust,Tree,30.0,10-12,S,MH,N,DM,3,3,4
Hymenanthera dentata,Tree Violet,Shrub,6.0,8-11,,LMH,N,M,0,0,
Hymenoxys richardsonii,"Pingue Hymenoxys, Pingue rubberweed, Colorado rubberweed",Perennial,0.2,0-0,,LM,SN,DM,2,1,
Hyoscyamus niger,"Henbane, Black henbane",Annual/Biennial,1.0,4-8,,LMH,N,DM,0,4,0
Hypericum forrestii,,Shrub,2.0,4-8,,LMH,SN,M,0,0,
Hypericum japonicum,Matted St. John's Wort,Annual/Perennial,0.5,-,,LMH,SN,MWe,0,2,
Hypericum monogynum,,Shrub,0.7,8-11,,LMH,SN,M,0,2,
Hypericum perforatum,"St. John's Wort, Common St. Johnswort",Perennial,0.9,3-7,,LMH,SN,M,2,4,2
Hyssopus officinalis,Hyssop,Shrub,0.6,5-10,M,LM,N,DM,2,3,5
Ilex cornuta,"Horned Holly, Chinese holly",Shrub,4.0,7-9,M,LMH,SN,M,1,2,
Ilex x altaclerensis,Holly,Shrub,4.0,5-9,S,LMH,SN,M,0,0,
Incarvillea delavayi,Hardy Gloxinia,Perennial,0.4,7-9,M,LM,SN,M,1,0,
Isopogon ceratophyllus,Horny Conebush,Shrub,0.6,-,,LMH,SN,M,0,1,
Jovibarba sobolifera,Hen And Chickens Houseleek,Perennial,0.1,4-8,,L,N,DM,2,0,
Juglans ailanthifolia cordiformis,Heartseed Walnut,Tree,20.0,4-8,M,LMH,N,M,4,1,4
Juglans hindsii,"Hind's Black Walnut, Northern California walnut,  Paradox hybrid walnut",Tree,15.0,8-9,M,LMH,N,M,3,0,
Juglans intermedia,"Hind's Black Walnut, Northern California walnut,  Paradox hybrid walnuH",Tree,30.0,4-8,,LMH,N,M,3,0,
Juncus inflexus,"Hard Rush, European meadow rush",Perennial,0.0,4-8,,MH,SN,MWeWa,0,0,
Juniperus recurva,Himalayan Juniper,Tree,12.0,6-9,S,LMH,N,M,1,1,
Lablab purpureus,"Hyacinth Bean, Bonavist-bean",Perennial Climber,2.0,9-11,F,LMH,N,M,4,2,0
Lamium amplexicaule,"Henbit, Henbit deadnettle",Annual,0.3,0-0,,LM,N,DM,2,1,0
Lepidium hyssopifolium,Hyssopleaf pepperweed,Annual/Biennial,0.0,0-0,,LMH,SN,M,1,0,
Levisticum officinale,"Lovage, Garden lovage",Perennial,1.8,5-9,M,LMH,SN,M,3,3,2
Leycesteria formosa,Himalayan Honeysuckle,Shrub,2.5,10-11,M,LMH,SN,M,2,0,
Ligusticum hultenii,Hulten's Licorice Root,Perennial,0.0,-,,LMH,N,M,2,0,
Lilium brownii,Hong Kong Lily,Bulb,1.2,4-8,,LM,SN,M,3,2,
Lilium henryi,Henry's lily,Bulb,1.8,5-8,M,LM,SN,M,2,0,
Lithospermum caroliniense,"Hairy Puccoon, Carolina puccoon",Perennial,1.0,5-9,,LM,N,DM,0,1,
Lonicera chrysantha,Honeysuckle,Shrub,4.0,3-7,,LMH,N,M,1,0,
Lonicera periclymenum,"Honeysuckle, European honeysuckle",Climber,4.5,4-8,M,LMH,FSN,M,1,2,3
Lunaria annua,"Honesty, Annual honesty, Silver Dollar, Moneywort, Moonwort, Penny Flower, Money Plant",Annual/Biennial,0.6,8-10,F,LMH,SN,M,2,0,
Macadamia ternifolia,"Macadamia Nut, Gympie nut",Tree,8.0,10-12,M,LMH,N,M,4,0,2
Magnolia officinalis,Hou Po,Tree,20.0,7-10,,LMH,SN,M,0,3,
Malus halliana,Hall crab apple,Tree,4.0,4-8,,LMH,SN,M,2,0,
Meconopsis napaulensis,Himalayan Poppy,Perennial,2.0,7-10,,LMH,S,M,1,1,
Melianthus major,Honey Flower,Shrub,3.0,7-10,M,LMH,SN,M,3,1,1
Melianthus minor,Honey Flower,Shrub,2.0,7-10,M,LMH,SN,M,3,0,
Mentha cervina,Hart's Pennyroyal,Perennial,0.3,6-9,,LMH,SN,M,3,2,
Mentha longifolia,Horsemint,Perennial,1.0,5-9,,LMH,SN,M,2,2,
Monarda punctata,"Horse Mint, Spotted beebalm",Annual/Perennial,0.8,5-9,,LMH,SN,DM,1,3,
Moringa peregrina,Moringa,Tree,8.0,10-12,M,LMH,N,DM,2,2,3
Morus cathayana,Hua Sang,Tree,15.0,5-9,,LMH,SN,M,2,0,
Morus macroura,Himalayan Mulberry,Tree,10.0,7-10,,LMH,SN,M,2,1,
Morus serrata,Himalayan Mulberry,Tree,20.0,-,,LMH,SN,M,2,1,
Muscari comosum,"Tassel Hyacinth, Tassel grape hyacinth",Bulb,0.5,4-8,,LMH,SN,DM,3,1,2
Oenothera elata hookeri,Hooker's Evening Primrose,Biennial/Perennial,0.8,6-9,,LM,N,DM,2,1,2
Origanum x majoricum,Hardy Marjoram,Perennial,0.6,6-9,,LMH,SN,DM,2,2,
Osmanthus heterophyllus,"Holly Olive, Holly osmanthus, Chinese Holly, Holly Tea Olive, False  Holly",Shrub,4.0,6-9,S,LMH,SN,M,0,0,
Ostrya carpinifolia,Hop Hornbeam,Tree,15.0,5-9,,LMH,SN,DM,0,0,
Paris polyphylla,Herb Paris,Perennial,1.0,7-10,,LM,FS,M,1,2,
Paris quadrifolia,Herb Paris,Perennial,0.3,5-9,,LM,FS,M,0,2,
Pedicularis hirsuta,Hairy lousewort,Perennial,0.1,0-0,,LM,SN,M,1,0,
Pelargonium zonale,Horseshoe geranium,Perennial,1.0,8-11,,LM,N,DM,1,1,
Peltogyne floribunda,"Purpleheart, pau-roxo, zapatero",Tree,25.0,10-12,M,MH,N,DM,0,1,4
