ID,Plant Name,Latin Name,Water Level,Sunlight Level
2984,Elegant sweetclover,Melilotus elegans,DM,N
2985,"Eau De Cologne Mint,  Eau de Cologne Mint, Peppermint",Mentha x piperita citrata,M,SN
2986,"Wanania, Arataweri",Minquartia guianensis,M,FS
2987,"Eulalia, Chinese silvergrass, Silver Feather, Eulalia Grass, Japanese Silver Grass, Ornamental Grass",Miscanthus sinensis,M,SN
2988,"East African Newtonia, Forest Newtonia",Newtonia buchananii,M,N
2989,"Elephant grass, Clumping Bamboo",Ochlandra spp.,M,SN
2990,"Evening Primrose, Sun Drop, Common evening primrose",Oenothera biennis,DM,N
2991,,Olearia ilicifolia,M,N
2992,Early Spider Orchid,Ophrys sphegodes,M,SN
2993,"Eastern Prickly Pear, Prickly Pear Cactus",Opuntia compressa,D,N
2994,Early Purple Orchis,Orchis mascula,DM,SN
2995,European Millet,Panicum miliaceum,DM,N
2996,"Eastern Valerian, Scabious Patrinia",Patrinia scabiosifolia,M,N
2997,"Vegetable Ivory, Tagua, Nut Palm, Ivory nut palm",Phytelephas macrocarpa,M,N
2998,"Endod, Pokeberry",Phytolacca dodecandra,DM,FSN
2999,Jaboticaba,Plinia cauliflora,M,N
3000,Elderberry Panax,Polyscias sambucifolia,M,SN
3001,"Eastern Cottonwood, Plains cottonwood, Rio Grande cottonwood, Necklace Poplar",Populus deltoides,M,N
3002,Epaulette Tree,Pterostyrax corymbosa,M,SN
3003,"Encina, California live oak,  Coast Live Oak",Quercus agrifolia,M,SN
3004,"Evergreen Oak, Engelmann oak,  Mesa Oak",Quercus engelmannii,M,SN
3005,"Elm-Leaved Sumach, Sicilian sumac",Rhus coriaria,DM,N
3006,Eastern Poison Oak,Rhus toxicodendron,DM,N
3007,"Elm-Leaved Bramble, Elmleaf blackberry",Rubus ulmifolius,M,FSN
3008,"Egyptian Rue, Fringed rue",Ruta chalepensis,DM,SN
3009,Energy Cane,Saccharum hybrids,MWe,N
3010,Eared Sallow,Salix aurita,DMWe,N
3011,"Elderberry - European Elder, Black elderberry,  American black elderberry,  Blue elderberry, Europea",Sambucus nigra,M,SN
3012,Elder,Sambucus wightiana,M,SN
3013,West Australian Sandalwood,Santalum spicatum,D,SN
3014,,Sapium japonicum,M,N
3015,"Ricefield bulrush, Bog bulrush",Schoenoplectiella mucronata,MWeWa,N
3016,Yellow Centaury,Sebaea ovata,M,N
3017,Hedge Mustard,Sisymbrium officinale,M,SN
3018,Earleaf Greenbrier,Smilax auriculata,M,SN
3019,Ecuadorian Sarsaparilla,Smilax febrifuga,M,SN
3020,Flat-Topped Goldenrod,Solidago graminifolia,M,SN
3021,,Sophora mollis,DM,N
3022,Kowhai,Sophora tetraptera,M,N
3023,"Stevia, Candyleaf",Stevia rebaudiana,M,N
3024,"Esparto Grass, Esparto",Stipa tenacissima,DM,N
3025,"Jambolan, Java Plum, Malabar Plum, Jambu",Syzygium cumini,MWe,SN
3026,English Tree,Tamarix anglica,DM,N
3027,Eurasian thyme,Thymus pannonicus,DM,N
3028,,Trigonotis peduncularis,M,SN
3029,Einkorn,Triticum monococcum,DM,N
3030,Emmer,Triticum turgidum dicoccon,DM,N
3031,"Uñi, Chilean guava",Ugni molinae,DM,N
3032,English Elm,Ulmus procera,M,SN
3033,Elliott's blueberry,Vaccinium elliottii,M,SN
3034,"Evergreen Huckleberry, Florist's Huckleberry, Shot Huckleberry,  Californian Huckleberry",Vaccinium ovatum,DM,SN
3035,Eel Grass,Vallisneria spiralis,Wa,N
3036,Vanilla,Vanilla planifolia,DM,FS
3037,"Pea Vetch, Pale-flower vetch",Vicia pisiformis,M,SN
3038,Two-Leaf Vetch,Vicia unijuga,M,SN
3039,"Ekarukei, Murukukwe",Vitex madiensis,M,N
3040,"Japanese Horseradish, Wasabi",Wasabia japonica,WeWa,SN
3041,"Mulesears Wyethia, Mule-ears",Wyethia amplexicaulis,M,N
3042,Iron Wood,Xanthostemon verus,M,N
3043,"Eel Grass, Seawrack",Zostera marina,Wa,N
3044,Flaky Fir,Abies squamata,DM,FSN
3045,"Field Maple, Hedge maple",Acer campestre,M,SN
3046,Fischer monkshood,Aconitum fischeri,M,SN
3047,Fool's Parsley,Aethusa cynapium,DM,FSN
3048,Field Garlic,Allium oleraceum,M,N
3049,Few-Flowered Leek,Allium paradoxum,M,FSN
3050,Fly Poison,Amianthium muscitoxicum,M,SN
3051,"False Indigo, False indigo bush",Amorpha fruticosa,DM,SN
3052,"Fan Columbine, Dwarf Columbine",Aquilegia flabellata,M,SN
3053,,Arisaema thunbergii,M,FSN
3054,Friar's Cowl,Arisarum vulgare,M,FS
3055,Field Southernwood,Artemisia campestris,DM,SN
3056,"Fringed Wormwood, Prairie sagewort",Artemisia frigida,DM,N
3057,Fourleaf Milkweed,Asclepias quadrifolia,DM,SN
3058,Fern Asparagus,Asparagus filicinus,M,SN
3059,"False Nettle, Smallspike false nettle",Boehmeria cylindrica,M,SN
3060,False Pak Choi,Brassica rapa parachinensis,M,SN
3061,Flowering Rush,Butomus umbellatus,WeWa,N
3062,Field Marigold,Calendula arvensis,M,N
3063,"Finger Poppy Mallow, Winecup",Callirhoe digitata,DM,N
3064,Floating marsh marigold,Caltha natans,WeWa,SN
3065,"White Sapote, Mexican Apple",Casimiroa edulis,M,N
3066,Fendler's Ceanothus,Ceanothus fendleri,DM,SN
3067,"Field Mouse-Ear Chickweed, Field chickweed",Cerastium arvense,DM,N
3068,"Fragrant Virgin's Bower, Fragrant clematis",Clematis flammula,M,SN
3069,Field Bindweed,Convolvulus arvensis,DM,SN
3070,Incised fumewort,Corydalis incisa,M,S
3071,Flowering sea kale,Crambe cordifolia,DM,SN
3072,"Fireberry Hawthorn, Red haw, Piper's hawthorn,",Crataegus chrysocarpa,MWe,SN
3073,Fanleaf hawthorn,Crataegus flabellata,MWe,SN
3074,"Frosted Hawthorn, Waxyfruit hawthorn",Crataegus pruinosa,MWe,SN
3075,Flatglobe dodder,Cuscuta umbellata,M,SN
3076,Fendler's Flatsedge,Cyperus fendlerianus,MWe,N
3077,"Flatsedge, Schweinitz's flatsedge",Cyperus schweinitzii,MWe,N
3078,Flax-Leaved Daphne,Daphne gnidium,DM,SN
3079,"Flixweed, Herb sophia",Descurainia sophia,M,SN
3080,Flax Lily,Dianella revoluta,DM,N
3081,Flax Lily,Dianella tasmanica,DM,N
3082,Fairybells,Disporum trachycarpum,M,FS
3083,False yellowhead,Dittrichia viscosa,M,N
3084,Fragrant Woodfern,Dryopteris fragrans,M,S
3085,"Finger Millet, African finger millet",Eleusine coracana,M,N
3086,Fire Heath,Erica cerinthoides,M,N
3087,Field Eryngo,Eryngium campestre,DM,N
3088,"Fawn Lily, California fawnlily",Erythronium californicum,M,S
3089,"Flooded Gum, Gum, Rose Eucalyptus",Eucalyptus grandis,DM,SN
3090,"Foxnut, Euryale",Euryale ferox,Wa,N
3091,Perennial Buckwheat,Fagopyrum dibotrys,DM,SN
3092,"Ironwood, Tembusu",Fagraea fragrans,MWe,N
3093,Giant Fennel,Ferula communis,DM,N
3094,Galbanum,Ferula gummosa,DM,N
3095,Musk Root,Ferula moschata,DM,N
3096,Ferula,Ferula narthex,DM,N
3097,,Fibigia clypeata,DM,N
3098,"Huan wen rong, Nizhangde",Ficus annulata,M,N
3099,"Fig, Edible fig, Fig Common",Ficus carica,DM,N
3100,Sandpaper Fig,Ficus coronata,M,SN
3101,Rubber Plant. India Rubber Tree,Ficus elastica,M,SN
3102,,Fimbristylis sub-bispicata,M,SN
3103,Florence Fennel,Foeniculum vulgare azoricum,DM,N
3104,Sweet Fennel,Foeniculum vulgare dulce,DM,N
3105,Xue Liu,Fontanesia phillyreoides fortunei,M,SN
3106,Wild Olive,Forestiera neomexicana,DM,SN
3107,Ocotillo. Coach whip,Fouquieria splendens,D,N
3108,Woodland Strawberry,Fragaria bracteata,M,SN
3109,,Fragaria daltoniana,M,SN
3110,Hautbois Strawberry,Fragaria moschata,M,SN
3111,"Scarlet Strawberry, Virginia strawberry",Fragaria virginiana,M,SN
3112,Green Strawberry,Fragaria viridis,M,SN
3113,Strawberry,Fragaria x ananassa,M,SN
3114,White Ash,Fraxinus americana,DM,SN
3115,Narrow-Leaved Ash,Fraxinus angustifolia,DM,N
3116,Hua Qu Liu,Fraxinus chinensis rhynchophylla,M,N
3117,,Fraxinus hookeri,M,N
3118,Oregon Ash,Fraxinus latifolia,M,N
3119,,Fraxinus longicuspis,M,N
3120,"Red Ash, Green ash, Water Ash",Fraxinus pennsylvanica,M,N
3121,,Fritillaria sewerzowii,DM,SN
3122,Zhe Bei Mu,Fritillaria thunbergii,M,SN
3123,Scarlet fuchsia,Fuchsia coccinea,M,SN
3124,,Fuchsia denticulata,M,SN
3125,"Fuchsia, Hardy fuchsia",Fuchsia magellanica,M,SN
3126,Trailing Fuchsia,Fuchsia procumbens,M,SN
3127,Platanillo,Fuchsia splendens,M,FSN
3128,"Fumitory, Drug fumitory",Fumaria officinalis,M,SN
3129,"Pacpa, Fique",Furcraea andina,DM,N
3130,False Cleavers,Galium spurium,DM,S
3131,Fragrant Bedstraw,Galium triflorum,DM,S
3132,"Fever Bush, Bearbrush",Garrya fremontii,DM,FSN
3133,Fragrant Wintergreen,Gaultheria fragrantissima,M,FS
3134,"False Jasmine, Yellow Jessamine, Evening Trumpetflower, Carolina Jasmine",Gelsemium sempervirens,M,SN
3135,"Felwort, Autumn dwarf gentian",Gentianella amarella,M,SN
3136,False Toadflax,Geocaulon lividum,M,SN
3137,"Floating Manna Grass, Water mannagrass",Glyceria fluitans,WeWa,N
3138,"Fowl Manna Grass, Fowl mannagrass",Glyceria striata,WeWa,SN
3139,Marsh Cudweed,Gnaphalium uliginosum,M,SN
3140,Fragrant Orchid,Gymnadenia conopsea,M,SN
3141,"Frostweed, Longbranch frostweed",Helianthemum canadense,DM,N
3142,Flower Of An Hour,Hibiscus trionum,DM,N
3143,"Foxtail Barley, Intermediate barley",Hordeum jubatum,DM,N
3144,"French hydrangea , Florist's Hydrangea, Bigleaf  Hydrangea",Hydrangea macrophylla,M,SN
3145,Fineleaf hymenopappus,Hymenopappus lugens,M,SN
3146,"Inga Assu, Inga Acu",Inga cinnamomea,M,N
3147,"Ice Cream Bean, Monkey Tamarind",Inga edulis,DMWe,SN
3148,Guaba de zorro,Inga insignis,DM,SN
3149,"Ice Cream Bean, Jinicuil",Inga jinicuil,M,N
3150,"Ice cream bean, River koko, Guaba, Pois Doux",Inga vera,M,N
3151,Flaky Juniper,Juniperus squamata,DM,N
3152,"Fluellen, Sharpleaf cancerwort",Kickxia elatine,M,SN
3153,"Field Scabious, Field scabiosa",Knautia arvensis,DM,SN
3154,"Flat pea, Wood pea",Lathyrus sylvestris,M,SN
3155,French Lavender,Lavandula stoechas,DM,N
3156,Fang Feng,Ledebouriella seseloides,M,SN
3157,,Ligularia hiberniflorum,M,SN
3158,Fernleaf Licorice Root,Ligusticum filicinum,M,SN
3159,"Fire Lily, Orange lily",Lilium bulbiferum,M,SN
3160,Formosa lily,Lilium formosanum,M,SN
3161,"Flax, Common flax",Linum usitatissimum,M,N
3162,"Formosan Gum, Chinese Sweet Gum, Formosa Sweet Gum",Liquidambar formosana,M,SN
3163,"Fernleaf Biscuitroot, Carrotleaf biscuitroot",Lomatium dissectum,DM,N
3164,"Fly Honeysuckle, American fly honeysuckle",Lonicera canadensis,M,N
3165,"Fringe Flower, Chinese Fringe Bush",Loropetalum chinense,M,SN
3166,Fir Clubmoss,Lycopodium selago,M,FS
3167,"Flax-Leaved Paper-Bark, Cajeput tree",Melaleuca linariifolia,M,N
3168,"Lemon Balm, Common balm, Bee Balm, Sweet Balm,  Lemon Balm",Melissa officinalis,DM,SN
3169,"False Huckleberry, Rusty menziesia",Menziesia ferruginea,M,SN
3170,"Four O'clock Plant, Colorado four o'clock",Mirabilis multiflora,M,SN
3171,,Nothofagus betuloides,M,N
3172,Myrtle Beech,Nothofagus cunninghamii,M,N
3173,Red Beech,Nothofagus fusca,M,N
3174,Silver Beech,Nothofagus menziesii,M,N
3175,"Roblé, Roble beech",Nothofagus obliqua,M,N
3176,Lenga,Nothofagus pumilio,M,N
3177,"Fragrant Water Lily, American white waterlily",Nymphaea odorata,Wa,N
3178,Fly Orchid,Ophrys insectifera,M,SN
3179,Fragrant Olive,Osmanthus fragrans,M,SN
3180,Fragrant Pandan,Pandanus amaryllifolius,MWe,SN
3181,"Foxglove Tree, Princesstree, Empress Tree, Royal Paulownia,",Paulownia tomentosa,M,N
3182,"Fiddleneck, Lacy phacelia",Phacelia tanacetifolia,M,N
3183,"French Bean, Kidney bean",Phaseolus vulgaris,M,N
3184,"False Mistletoe, Oak mistletoe",Phoradendron leucarpum,M,SN
3185,"Frogfruit, Turkey tangle fogfruit",Phyla nodiflora,DM,N
3186,Field groundcherry,Physalis variovestita,M,N
3187,Field Pea,Pisum sativum arvense,M,N
3188,Fulvous Popcornflower,Plagiobothrys fulvus campestris,M,SN
3189,French Psyllium,Plantago arenaria,DM,N
3190,Fleawort,Plantago psyllium,DM,N
3191,,Platycarya strobilacea,M,SN
3192,Inca peanut,Plukenetia volubilis,M,SN
3193,"False Buckwheat, Arrowleaf tearthumb",Polygonum sagittatum,M,SN
3194,Fennel-Leaved Pondweed,Potamogeton pectinatus,Wa,N
3195,Fuji Cherry,Prunus incisa,M,SN
3196,Flowering Almond,Prunus triloba simplex,M,N
3197,"Fleabane, Meadow false fleabane",Pulicaria dysenterica,MWe,N
3198,"Firethorn, Scarlet firethorn, Pyracantha, Firethorn",Pyracantha coccinea,M,FSN
3199,Formosa firethorn,Pyracantha koidzumii,M,SN
3200,"Lesser Celandine - Pilewort, Fig buttercup",Ranunculus ficaria,M,SN
3201,Fodder Radish,Raphanus sativus oleiformis,M,SN
3202,"French Scorzonera, Common brighteyes",Reichardia picroides,M,SN
3203,Japanese knotweed.,Reynoutria japonica,M,SN
3204,"Indian Cherry, Oak, Carolina Buckthorn",Rhamnus carolinianus,M,SN
3205,Cascara Sagrada,Rhamnus purshiana,M,SN
3206,"Flowering Currant, Blood currant",Ribes sanguineum,M,SN
3207,Flowering Currant,Ribes sanguineum glutinosum,M,SN
3208,French Rose,Rosa gallica,M,SN
3209,"Fingerberry, Brombeere, Jute-leaved raspberry,",Rubus corchorifolius,M,SN
3210,"Fewleaved Dock, Alpine sheep sorrel",Rumex paucifolius,MWe,SN
3211,Fiddle Dock,Rumex pulcher,DM,SN
3212,Feltleaf Wiillow,Salix alaxensis,MWe,N
3213,Foxtail Millet,Setaria italica,M,N
3214,"Field Madder, Blue fieldmadder",Sherardia arvensis,DM,N
3215,False Spikenard,Smilacina racemosa,M,FS
3216,False China Root,Smilax pseudochina,MWe,SN
3217,"Field Milk Thistle, Field sowthistle, Moist sowthistle",Sonchus arvensis,M,SN
3218,false spiraea,Sorbaria sorbifolia,M,SN
3219,French Hales,Sorbus latifolia,M,SN
3220,Fairy Grass,Sporobolus caroli,M,N
3221,"French Marigold, Dwarf French Marigold",Tagetes patula,DM,N
3222,Fluted Gourd,Telfairia occidentalis,M,FSN
3223,Oysternut,Telfairia pedata,M,SN
3224,"Fringe Cups, Bigflower tellima",Tellima grandiflora,M,SN
3225,"Fish-poison-bean,",Tephrosia vogelii,M,SN
3226,Umbrella Bamboo,Thamnocalamus spathaceus,M,FSN
3227,Fringed Lily,Thysanotus tuberosus,DM,N
3228,"Foamflower, Heartleaf foamflower, Clumping Foamflower",Tiarella cordifolia,M,FS
3229,false snowparsley,Tilingia ajanensis,M,N
3230,Foothill Clover,Trifolium ciliatum,M,N
3231,"Fenugreek, Sicklefruit fenugreek",Trigonella foenum-graecum,DM,N
3232,"Fairybells, Merry Bells, Bellwort, Largeflower bellwort",Uvularia grandiflora,M,FS
3233,"Florida Evergreen Blueberry,  Shiny blueberry",Vaccinium myrsinites,M,SN
3234,"Field Speedwell, Green field speedwell",Veronica agrestis,M,N
3235,"French Vetch, Purple broad vetch",Vicia narbonensis,M,SN
3236,"Fine-Leaved Vetch, Cow vetch",Vicia tenuifolia,M,SN
3237,"Fulu, Mkombachiko, Mufuu",Vitex keniensis,M,N
3238,Frost Grape,Vitis cordifolia,DM,SN
3239,Frost Grape,Vitis vulpina,DM,SN
3240,Fire-flame bush,Woodfordia fruticosa,M,N
3241,Maculata bamboo,Yushania maculata,M,SN
3242,Japanese Pepper Tree,Zanthoxylum piperitum,M,SN
3243,Peppertree,Zanthoxylum schinifolium,M,SN
3244,Grecian Fir,Abies cephalonica,M,FSN
3245,Green Wattle,Acacia decurrens,DM,N
3246,Golden Wattle,Acacia pycnantha,DM,N
3247,"Grass-leaved Sweet Rush, Japanese Sweet Flag, Dwarf Sweet Flag",Acorus gramineus,MWeWa,N
3248,Greasewood,Adenostoma fasciculatum,DM,N
3249,Goatgrass,Aegilops speltoides,DM,SN
3250,"Ground Elder, Bishop's goutweed, Goutweed, Ground Elder, Bishop's Weed",Aegopodium podagraria,M,FSN
3251,Slenderleaf False Foxglove,Agalinis tenuifolia,DM,SN
3252,"Goatweed, Tropical whiteweed",Ageratum conyzoides,M,N
3253,"Ground Pine, Yellow bugle",Ajuga chamaepitys,DM,SN
3254,"Geyer's Onion, Bulbil onion",Allium geyeri,M,N
3255,"Giant Onion, Ornamental  Onion",Allium giganteum,DM,N
3256,"Golden Garlic, Ornamental Onion",Allium moly,DM,N
3257,"Garlic Chives, Chinese chives, Oriental Chives,",Allium tuberosum,DM,N
3258,"Giant Ragweed, Great ragweed, Texan great ragweed, Bitterweed, Bloodweed, Buffalo Weed, Horse Cane",Ambrosia trifida,M,SN
3259,"Giant Angelica, Purple Parsnip, Korean  Angelica",Angelica gigas,M,SN
3260,Traveler's delight,Apios priceana,M,SN
3261,Grecian StrawberryTree,Arbutus andrachne,DM,N
3262,Greenleaf Manzanita,Arctostaphylos patula,M,SN
3263,Green-Dragon,Arisaema dracontium,M,FSN
3264,Guan Fang Chi,Aristolochia fangchi,M,SN
3265,Glacier Wormwood,Artemisia glacialis,DM,N
3266,Glasswort,Arthrocnemum fruticosum,M,SN
3267,"Glasswort, Parish's glasswort",Arthrocnemum subterminale,M,N
3268,"Green Milkweed,  Green comet milkweed",Asclepias viridiflora,DM,SN
3269,"Grey Sage Brush, Fourwing saltbush",Atriplex canescens,DM,N
3270,Gmelin's saltbush,Atriplex gmelinii,DM,N
3271,"Giant Saltbush, Bluegreen saltbush",Atriplex nummularia,DM,N
3272,Grey Myrtle,Backhousia myrtifolia,M,N
3273,"Golden Stars, Common goldenstar",Bloomeria crocea,M,N
3274,"Guadalupe Palm,",Brahea edulis,DM,N
3275,Green In The Snow,Brassica juncea multiceps,M,SN
3276,Green In The Snow,Brassica juncea tsatsai multiceps,M,SN
3277,Verawood,Bulnesia arborea,DM,N
3278,"Pau Brasil, Brazil Wood, Indian Savin",Caesalpinia echinata,M,SN
3279,Gold Of Pleasure,Camelina sativa,DM,SN
3280,Great Pond Sedge,Carex riparia,MWe,SN
3281,Water WhirlGrass,Catabrosa aquatica,WeWa,SN
3282,Glaucous wild cabbage,Caulanthus glaucus,M,SN
3283,Greater Knapweed,Centaurea scabiosa,DM,N
3284,"Gotu Kola, Spadeleaf",Centella asiatica,MWe,SN
3285,"Golden Cassia,  Partridge pea",Chamaecrista fasciculata,M,SN
3286,Greenleaf Five Eyes,Chamaesaracha coronopus,M,SN
3287,"Goosefoot, Fremont's goosefoot, Pringle's goosefoot",Chenopodium fremontii,M,N
3288,"Greenheart, Demerara Greenheart",Chlorocardium rodiei,M,N
3289,"Golden Saxifrage,  Alternate-leaf golden saxifrage, Iowa golden saxifrage",Chrysosplenium alternifolium,MWe,SN
3290,Golden Saxifrage,Chrysosplenium oppositifolium,MWe,SN
3291,Gillet's cherry-orange,Citropsis gilletiana,M,N
3292,"Grapefruit, Pomelo, Pamplemousse",Citrus x paradisi,S,N
3293,"Twolobe clarkia,  Mariposa clarkia, Brandegee's clarkia",Clarkia biloba,M,SN
3294,Winecup clarkia,Clarkia purpurea,M,SN
3295,Great Basin Spring Beauty,Claytonia umbellata,M,N
3296,Ground virginsbower,Clematis recta,M,N
3297,Gala Dinich,Coleus edulis,M,SN
3298,"Giant coreopsis, Sea Dahlia",Coreopsis gigantea,DM,N
3299,"Green Osier, Alternateleaf dogwood, Alternate Leaf Dogwood, Golden Shadows Pagoda Dogwood, Green Osi",Cornus alternifolia,DM,N
3300,"Gherkin, West Indian gherkin",Cucumis anguria,M,N
3301,Greater dodder,Cuscuta europaea,M,SN
3302,Globe Springparsley,Cymopterus globosus,DM,N
3303,Globe Artichoke,Cynara scolymus,M,N
3304,Galingale,Cyperus longus,MWeWa,N
3305,Prostrate Broom,Cytisus decumbens,DM,N
3306,,Daphniphyllum himalense,M,FS
3307,"Giant Larkspur, Sierra larkspur",Delphinium glaucum,M,N
3308,"Guang Jing Qian Cao, Coin-leaf desmodium",Desmodium styracifolium,M,N
3309,"Glutinous Yam, Japanese yam",Dioscorea japonica,M,N
3310,,Diploterigium glaucum,M,SN
3311,"Globe Thistle,  Southern globethistle, Small Globe Thistle",Echinops ritro,DM,N
3312,Goat nipple,Elaeagnus glabra,DM,FSN
3313,Giant White Fawnlily,Erythronium oregonum,M,S
3314,Gungurru,Eucalyptus caesia,DMWe,N
3315,Grey Gum,Eucalyptus punctata,DMWe,N
3316,Gutta-Percha,Eucommia ulmoides,M,N
3317,Gravel Root,Eupatorium purpureum,M,SN
3318,"Golden Bells, Greenstem forsythia, Forsythia",Forsythia viridissima,M,FSN
3319,"Golden Bell, Border Forsythia",Forsythia x intermedia,M,FSN
3320,"Green Gentian, Elkweed",Frasera speciosa,M,SN
3321,Yellow Star Of Bethlehem,Gagea lutea,M,SN
3322,"Goat's Rue, Professor-weed",Galega officinalis,M,SN
3323,Splitlip hempnettle,Galeopsis bifida,M,SN
3324,Gallant Soldier,Galinsoga parviflora,M,SN
3325,"Hedge Bedstraw, False baby's breath",Galium mollugo,DM,S
3326,Siam gamboge. Hanbury's garcinia,Garcinia hanburyi,M,SN
3327,"Mysore Gamboge. Gamboge, Himalayan garcinia",Garcinia xanthochymus,M,SN
3328,Snowberry,Gaultheria antipoda,M,FS
3329,Mountain Snowberry,Gaultheria depressa,M,SN
3330,,Gaultheria macrostigma,M,S
3331,,Gaultheria nummularioides,M,SN
3332,,Gaultheria pyroliifolia,M,FS
3333,,Gaultheria pyroloides,M,S
3334,,Gaultheria x wisleyensis,M,FS
3335,,Genista germanica,DM,N
3336,"Hairy greenweed, silkyleaf broom",Genista pilosa,DM,SN
3337,Gentian,Gentiana acaulis,M,SN
3338,,Gentiana dahurica,M,SN
3339,,Gentiana thunbergii,M,SN
3340,,Gentianella diemensis,M,SN
3341,"Geranium, Cranesbill",Geranium incanum,M,N
3342,Yellow Avens,Geum aleppicum,M,SN
3343,,Geum japonicum,M,SN
3344,"Wood Avens, Bennet's Root - Old man's whiskers, Herb bennet",Geum urbanum,M,SN
3345,Himalayan Nettle,Girardinia diversifolia,M,SN
3346,,Gladiolus permeabilis edulis,M,SN
3347,"Horned Poppy, Yellow hornpoppy",Glaucium flavum,DM,N
3348,"Ground Ivy, Field Balm, Gill Over The Ground, Runaway Robin",Glechoma hederacea,M,SN
3349,,Gleditsia japonica,DM,N
3350,"Gliricidia, Forest Lilac, Mexican Lilac",Gliricidia sepium,M,N
3351,Soya Bean,Glycine max,M,N
3352,Wild Soya Bean,Glycine soja,M,N
3353,"Glycine Pea, Glycine",Glycine tabacina,M,SN
3354,"Liquorice, Cultivated licorice",Glycyrrhiza glabra,M,SN
3355,Gan Cao,Glycyrrhiza uralensis,M,SN
3356,"Gmelina, Snapdragon, White Teak",Gmelina arborea,M,SN
3357,,Gnaphalium affine,DM,SN
3358,"Jointfir, Melinjo, Meninjau",Gnetum gnemon,M,FSN
3359,Goniorrhachis,Goniorrhachis marginata,M,N
3360,Western Rattlesnake Plantain,Goodyera oblongifolia,DM,SN
3361,Tree Cotton,Gossypium arboreum,M,N
3362,Sea Island Cotton,Gossypium barbadense,M,N
3363,Grazielodendron,Grazielodendron riodocensis,M,SN
3364,,Grewia biloba parviflora,M,SN
3365,,Grewia oppositifolia,M,SN
3366,"Gumplant, Great Valley gumweed,  Bract gumweed",Grindelia camporum,DM,N
3367,"Gumweed, Gum Plant",Grindelia hirsutula,DM,N
3368,Hairy Gumweed,Grindelia humilis,DM,N
3369,Great Valley Gumweed,Grindelia robusta,DM,N
3370,"Lignum Vitae, Guaiacum, Guayacan",Guaiacum officinale,M,N
3371,"Lignum Vitae, Guaiacum, Holy Wood",Guaiacum sanctum,DM,SN
3372,"Muskwood , Carrapeta, Cedro Macho",Guarea guidonia,M,SN
3373,"Moshi medicine, guier du Senegal",Guiera senegalensis,DM,N
3374,"Niger Seed, Ramtilla",Guizotia abyssinica,M,SN
3375,"Gunnera, Chilean gunnera",Gunnera tinctoria,M,SN
3376,Membrillo,Gustavia superba,M,SN
3377,Kentucky Coffee Tree,Gymnocladus dioica,DM,N
3378,Guayacan,Handroanthus guayacan,M,N
3379,Great Orme Hebe,Hebe 'Great Orme',M,N
3380,Giant Sunflower,Helianthus giganteus,M,N
3381,"Letterhout, Letter Wood",Helicostylis tomentosa,M,N
3382,Green Hellebore,Helleborus viridis,M,S
3383,"Grassleaf Day Lily, Small daylily",Hemerocallis minor,DM,SN
3384,"Galleta, James' galleta",Hilaria jamesii,D,N
3385,"Tsi, Chameleon, Rainbow Plant, Chameleon Plant",Houttuynia cordata,MWeWa,FS
3386,Goldenseal,Hydrastis canadensis,M,FS
3387,Great Saint John's Wort,Hypericum ascyron,M,SN
3388,Goldencup St. Johnswort,Hypericum patulum,M,SN
3389,Golden Weather Glass,Hypoxis hygrometrica,M,SN
3390,Golden Weather Glass,Hypoxis pratensis,M,SN
3391,Golden Samphire,Inula crithmoides,M,SN
3392,"Skyrocket,  Scarlet gilia",Ipomopsis aggregata,DM,N
3393,Grecian Juniper,Juniperus excelsa,DM,N
3394,,Justicia gendarussa,M,SN
3395,"White Mahogany, East African Mahogany",Khaya anthotheca,M,N
3396,"Golden Rain Tree, Varnish Tree",Koelreuteria paniculata,DM,N
3397,Yellow Archangel,Lamium galeobdolon,M,FSN
3398,"Guinea gumvine, Landolphia rubber",Landolphia heudelotii,MWe,N
3399,Gladich,Laser trilobum,M,SN
3400,"Gibbous Duckweed, Swollen duckweed, Windbags, Duckweed",Lemna gibba,Wa,N
3401,Grassleaf pepperweed,Lepidium graminifolium,DM,SN
3402,Scented Guarea,Leplaea cedrata,M,FSN
3403,Giant Wild Rye,Leymus condensatus,DM,N
3404,"Gayfeather, Dense blazing star, Spiked Blazing Star, Button Snakewot, Gayfeather, Spiked Gayfeather,",Liatris spicata,MWe,SN
3405,Golden-Rayed Lily,Lilium auratum,M,SN
3406,Mexican Oregano,Lippia graveolens,DM,N
3407,"Gromwell, European stoneseed",Lithospermum officinale,M,SN
3408,"Great Blue Lobelia, Blue Cardinal Flower, Big Blue Lobelia,  Great Lobelia",Lobelia siphilitica,MWe,SN
3409,Gorman's biscuitroot,Lomatium gormanii,DM,N
3410,Greater Bird's Foot Trefoil,Lotus halophilus,DM,N
3411,Greater Bird's Foot Trefoil,Lotus uliginosus,MWe,N
3412,"Goji, Box Thorn, Matrimony vine",Lycium barbarum,M,SN
3413,"Ground Pine, Groundcedar",Lycopodium complanatum,M,FS
3414,"Ground Pine, Rare clubmoss",Lycopodium obscurum,M,FS
3415,Gypsywort,Lycopus europaeus,MWeWa,SN
3416,Golden Spider Lily,Lycoris aurea,M,N
3417,"Gooseneck Loosestrife, Gooseneck yellow loosestrife, Japanese Loosestrife, Shepherd's Crook",Lysimachia clethroides,M,SN
3418,"Giant Trumpets, Thurber's giant-trumpets",Macromeria viridiflora,DM,N
